year,month,station_id,reservoir,volume_af,water_year
1991,7,BUMW1,BUM,20002.88,1991
1991,8,BUMW1,BUM,6652.2713,1991
1991,9,BUMW1,BUM,3400.8309999999997,1991
1991,10,BUMW1,BUM,2271.6837000000005,1992
1991,11,BUMW1,BUM,10191.102,1992
1991,12,BUMW1,BUM,10006.685,1992
1992,1,BUMW1,BUM,11634.59,1992
1992,2,BUMW1,BUM,12470.917,1992
1992,3,BUMW1,BUM,18055.374,1992
1992,4,BUMW1,BUM,26941.222999999998,1992
1992,5,BUMW1,BUM,27878.376,1992
1992,6,BUMW1,BUM,9854.532000000001,1992
1992,7,BUMW1,BUM,4458.9400000000005,1992
1992,8,BUMW1,BUM,2216.0373,1992
1992,9,BUMW1,BUM,2460.2988,1992
1992,10,BUMW1,BUM,2511.6400000000003,1993
1992,11,BUMW1,BUM,4958.4637,1993
1992,12,BUMW1,BUM,3135.285,1993
1993,1,BUMW1,BUM,4666.6293,1993
1993,2,BUMW1,BUM,3897.3284000000003,1993
1993,3,BUMW1,BUM,11948.717999999999,1993
1993,4,BUMW1,BUM,16081.453,1993
1993,5,BUMW1,BUM,50469.437,1993
1993,6,BUMW1,BUM,19476.044,1993
1993,7,BUMW1,BUM,6869.0047,1993
1993,8,BUMW1,BUM,3240.0634,1993
1993,9,BUMW1,BUM,2246.0472999999997,1993
1993,10,BUMW1,BUM,1812.3015,1994
1993,11,BUMW1,BUM,1425.5922,1994
1993,12,BUMW1,BUM,3706.0807,1994
1994,1,BUMW1,BUM,6570.9,1994
1994,2,BUMW1,BUM,4072.6769999999997,1994
1994,3,BUMW1,BUM,12179.007,1994
1994,4,BUMW1,BUM,25568.136,1994
1994,5,BUMW1,BUM,35534.97,1994
1994,6,BUMW1,BUM,17772.307999999997,1994
1994,7,BUMW1,BUM,5469.282999999999,1994
1994,8,BUMW1,BUM,2591.349,1994
1994,9,BUMW1,BUM,2284.4321999999997,1994
1994,10,BUMW1,BUM,6307.521299999999,1995
1994,11,BUMW1,BUM,7131.541,1995
1994,12,BUMW1,BUM,18151.917999999998,1995
1995,1,BUMW1,BUM,15033.739000000001,1995
1995,2,BUMW1,BUM,35438.4,1995
1995,3,BUMW1,BUM,18837.395,1995
1995,4,BUMW1,BUM,14984.185,1995
1995,5,BUMW1,BUM,48215.299999999996,1995
1995,6,BUMW1,BUM,32633.396000000004,1995
1995,7,BUMW1,BUM,11292.973,1995
1995,8,BUMW1,BUM,4589.6935,1995
1995,9,BUMW1,BUM,3859.0226,1995
1995,10,BUMW1,BUM,10245.1935,1996
1995,11,BUMW1,BUM,61704.71,1996
1995,12,BUMW1,BUM,29958.136,1996
1996,1,BUMW1,BUM,27158.554,1996
1996,2,BUMW1,BUM,53037.55,1996
1996,3,BUMW1,BUM,16937.107,1996
1996,4,BUMW1,BUM,30192.602000000003,1996
1996,5,BUMW1,BUM,30334.057,1996
1996,6,BUMW1,BUM,30951.28,1996
1996,7,BUMW1,BUM,11910.308,1996
1996,8,BUMW1,BUM,6176.133,1996
1996,9,BUMW1,BUM,4708.053599999999,1996
1996,10,BUMW1,BUM,5709.528400000001,1997
1996,11,BUMW1,BUM,11886.617,1997
1996,12,BUMW1,BUM,12509.216,1997
1997,1,BUMW1,BUM,21941.434999999998,1997
1997,2,BUMW1,BUM,15655.983,1997
1997,3,BUMW1,BUM,25701.342,1997
1997,4,BUMW1,BUM,27342.134000000002,1997
1997,5,BUMW1,BUM,74344.98999999999,1997
1997,6,BUMW1,BUM,68637.79,1997
1997,7,BUMW1,BUM,34338.825,1997
1997,8,BUMW1,BUM,8049.237,1997
1997,9,BUMW1,BUM,9633.469,1997
1997,10,BUMW1,BUM,24630.182,1998
1997,11,BUMW1,BUM,17673.643,1998
1997,12,BUMW1,BUM,12759.18,1998
1998,1,BUMW1,BUM,10629.293,1998
1998,2,BUMW1,BUM,7077.3997,1998
1998,3,BUMW1,BUM,11837.621000000001,1998
1998,4,BUMW1,BUM,19799.358,1998
1998,5,BUMW1,BUM,53332.31,1998
1998,6,BUMW1,BUM,33779.713,1998
1998,7,BUMW1,BUM,9919.42,1998
1998,8,BUMW1,BUM,4778.6155,1998
