reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
CLE,QU,2021,6,2650.0686666666666,30,157690.03636363638,2021
CLE,QU,2021,7,885.2693548387097,31,54433.090909090904,2021
CLE,QU,2021,8,378.6777419354839,31,23283.986776859507,2021
CLE,QU,2021,9,197.183,30,11733.203305785124,2021
CLE,QU,2021,10,444.0796774193548,31,27305.395041322314,2022
CLE,QU,2021,11,1933.607,30,115057.60661157026,2022
CLE,QU,2021,12,743.3935483870968,31,45709.48760330579,2022
CLE,QU,2022,1,806.9235483870967,31,49615.79504132231,2022
CLE,QU,2022,2,603.8864285714286,28,33538.15537190083,2022
CLE,QU,2022,3,1177.0777419354838,31,72375.68925619834,2022
CLE,QU,2022,4,806.9416666666667,30,48016.36363636364,2022
CLE,QU,2022,5,2075.235806451613,31,127601.27603305785,2022
CLE,QU,2022,6,3035.1766666666667,30,180605.55371900828,2022
CLE,QU,2022,7,1201.667741935484,31,73887.66942148762,2022
CLE,QU,2022,8,333.08193548387095,31,20480.40991735537,2022
CLE,QU,2022,9,101.91033333333334,30,6064.085950413224,2022
CLE,QU,2022,10,88.61451612903225,31,5448.694214876033,2023
CLE,QU,2022,11,668.4966666666667,30,39778.31404958678,2023
CLE,QU,2022,12,381.59483870967745,31,23463.352066115705,2023
CLE,QU,2023,1,440.5254838709677,31,27086.856198347105,2023
CLE,QU,2023,2,343.3432142857143,28,19068.317355371903,2023
CLE,QU,2023,3,260.921935483871,31,16043.46446280992,2023
CLE,QU,2023,4,937.9636666666667,30,55812.71404958678,2023
CLE,QU,2023,5,3074.2848387096774,31,189030.40661157024,2023
CLE,QU,2023,6,759.994,30,45222.78347107438,2023
CLE,QU,2023,7,498.768064516129,31,30668.052892561984,2023
CLE,QU,2023,8,242.4816129032258,31,14909.613223140495,2023
CLE,QU,2023,9,101.70633333333333,30,6051.947107438017,2023
CLE,QU,2023,10,144.36741935483872,31,8876.80661157025,2024
CLE,QU,2023,11,521.777,30,31047.88760330579,2024
CLE,QU,2023,12,969.8229032258064,31,59632.085950413224,2024
CLE,QU,2024,1,445.2283870967742,31,27376.026446280994,2024
CLE,QU,2024,2,813.4958620689655,29,46792.819834710746,2024
CLE,QU,2024,3,770.6770967741935,31,47387.08760330578,2024
CLE,QU,2024,4,1072.1456666666666,30,63797.09752066115,2024
CLE,QU,2024,5,1434.3758064516128,31,88196.33057851238,2024
CLE,QU,2024,6,1239.931,30,73781.01818181819,2024
CLE,QU,2024,7,597.5145161290322,31,36739.735537190085,2024
CLE,QU,2024,8,283.9406451612903,31,17458.829752066114,2024
CLE,QU,2024,9,95.386,30,5675.861157024793,2024
CLE,QU,2024,10,177.36870967741936,31,10905.976859504133,2025
CLE,QU,2024,11,434.3256666666667,30,25844.171900826448,2025
CLE,QU,2024,12,447.45612903225805,31,27513.004958677684,2025
CLE,QU,2025,1,352.8822580645161,31,21697.88429752066,2025
CLE,QU,2025,2,354.9867857142857,28,19714.968595041322,2025
CLE,QU,2025,3,1449.121612903226,31,89103.01487603306,2025
CLE,QU,2025,4,1520.6323333333332,30,90483.90743801653,2025
CLE,QU,2025,5,1679.1241935483872,31,103245.3223140496,2025
CLE,QU,2025,6,1073.29,30,63865.19008264462,2025
CLE,QU,2025,7,343.37612903225806,31,21113.37520661157,2025
CLE,QU,2025,8,227.0448387096774,31,13960.442975206612,2025
CLE,QU,2025,9,98.69433333333333,30,5872.720661157025,2025
CLE,QU,2025,10,174.60677419354838,31,10736.152066115701,2026
CLE,QU,2025,11,1204.6696666666667,30,71682.82314049586,2026
CLE,QU,2025,12,3382.972258064516,31,208010.85619834712,2026
CLE,QU,2026,1,885.2693548387097,31,54433.090909090904,2026
CLE,QU,2026,2,647.9546428571429,28,35985.580165289255,2026
CLE,QU,2026,3,1898.9383870967742,31,116761.1702479339,2026
CLE,QU,2026,4,987.389,30,58753.72561983472,2026
CLE,QU,2026,5,1039.1451612903224,31,63894.54545454545,2026
CLE,QU,2026,6,611.6176666666667,30,36393.77851239669,2026
CLE,QU,2026,7,249.53032258064516,31,15343.021487603306,2026
CLE,QU,2026,8,176.7955,20,7013.37520661157,2026
KAC,QD,2003,10,306.8709677419355,31,18868.760330578512,2004
KAC,QD,2003,11,21.366666666666667,30,1271.404958677686,2004
KAC,QD,2003,12,20,31,1229.7520661157025,2004
KAC,QD,2004,1,21.161290322580644,31,1301.1570247933885,2004
KAC,QD,2004,2,16.137931034482758,29,928.2644628099174,2004
KAC,QD,2004,3,17.806451612903224,31,1094.8760330578514,2004
KAC,QD,2004,4,153.26666666666668,30,9120,2004
KAC,QD,2004,5,457.80645161290323,31,28149.421487603307,2004
KAC,QD,2004,6,213.1,30,12680.330578512398,2004
KAC,QD,2004,7,380.7096774193548,31,23408.92561983471,2004
KAC,QD,2004,8,388.258064516129,31,23873.05785123967,2004
KAC,QD,2004,9,1027.6333333333334,30,61148.42975206613,2004
KAC,QD,2004,10,516.8709677419355,31,31781.15702479339,2005
KAC,QD,2004,11,25.3,30,1505.4545454545455,2005
KAC,QD,2004,12,18.161290322580644,31,1116.6942148760331,2005
KAC,QD,2005,1,11.096774193548388,31,682.3140495867768,2005
KAC,QD,2005,2,7.821428571428571,28,434.3801652892562,2005
KAC,QD,2005,3,7.709677419354839,31,474.04958677685954,2005
KAC,QD,2005,4,9.4,30,559.3388429752066,2005
KAC,QD,2005,5,128.3548387096774,31,7892.231404958677,2005
KAC,QD,2005,6,382.5,30,22760.330578512396,2005
KAC,QD,2005,7,454.6774193548387,31,27957.02479338843,2005
KAC,QD,2005,8,1053.483870967742,31,64776.19834710744,2005
KAC,QD,2005,9,732.4666666666667,30,43584.79338842975,2005
KAC,QD,2005,10,34.87096774193548,31,2144.132231404959,2006
KAC,QD,2005,11,20.7,30,1231.7355371900826,2006
KAC,QD,2005,12,21.258064516129032,31,1307.107438016529,2006
KAC,QD,2006,1,19.419354838709676,31,1194.0495867768595,2006
KAC,QD,2006,2,12.642857142857142,28,702.1487603305785,2006
KAC,QD,2006,3,14.161290322580646,31,870.7438016528926,2006
KAC,QD,2006,4,29.966666666666665,30,1783.1404958677685,2006
KAC,QD,2006,5,249.74193548387098,31,15356.03305785124,2006
KAC,QD,2006,6,200.3,30,11918.677685950413,2006
KAC,QD,2006,7,51,31,3135.8677685950415,2006
KAC,QD,2006,8,215.1290322580645,31,13227.768595041323,2006
KAC,QD,2006,9,1126.7666666666667,30,67047.27272727274,2006
KAC,QD,2006,10,476.38709677419354,31,29291.900826446283,2007
KAC,QD,2006,11,23.766666666666666,30,1414.2148760330579,2007
KAC,QD,2006,12,21.612903225806452,31,1328.9256198347107,2007
